number of players:,3
number of candidates:,4
game ended after:,the turns are over
time,player,vote,current winner,points player1,points player2,points player3
3/11/2014 12:23:59 PM,0,name1,name1,50,100,75
3/11/2014 12:24:04 PM,1,name2,name1 name2,75,87,50
3/11/2014 12:24:04 PM,2,name1,name1,50,100,75
3/11/2014 12:24:09 PM,0,name2,name2,100,75,25
3/11/2014 12:24:15 PM,1,name1,name1,50,100,75
3/11/2014 12:24:15 PM,2,name3,name1 name2 name3,75,75,66
3/11/2014 12:24:18 PM,0,name1,name1,50,100,75
3/11/2014 12:24:19 PM,1,name1,name1,50,100,75
3/11/2014 12:24:19 PM,2,name4,name1,50,100,75
3/11/2014 12:24:21 PM,0,name3,name1 name3 name4,50,58,75
3/11/2014 12:24:22 PM,1,name2,name2 name3 name4,66,50,58
3/11/2014 12:24:22 PM,2,name1,name1 name2 name3,75,75,66
3/11/2014 12:24:23 PM,0,name1,name1,50,100,75
3/11/2014 12:24:25 PM,1,name1,name1,50,100,75
3/11/2014 12:24:25 PM,2,name1,name1,50,100,75
