number of players:,4
number of candidates:,3
game ended after:,the turns are over
time,player,vote,current winner,points player1,points player2,points player3,points player4
3/12/2014 2:20:34 PM,0,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:20:44 PM,1,Backdraft,Hart's War Backdraft,70,70,70,55
3/12/2014 2:20:50 PM,2,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer Hart's War Backdraft,50,50,50,50
3/12/2014 2:20:54 PM,3,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,10,10,10,40
3/12/2014 2:21:00 PM,0,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,10,10,10,40
3/12/2014 2:21:05 PM,1,Backdraft,I Still Know What You Did Last Summer,10,10,10,40
3/12/2014 2:21:23 PM,2,Hart's War,I Still Know What You Did Last Summer,10,10,10,40
3/12/2014 2:21:34 PM,3,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:21:43 PM,0,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:21:48 PM,1,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:22:11 PM,2,Backdraft,Hart's War,40,40,100,10
3/12/2014 2:22:19 PM,3,I Still Know What You Did Last Summer,Hart's War,40,40,100,10
3/12/2014 2:22:22 PM,0,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:22:27 PM,1,Hart's War,Hart's War,40,40,100,10
3/12/2014 2:22:31 PM,2,Backdraft,Hart's War,40,40,100,10
